Group,Experiment,Problem Space,*H2D Mean,*D2H Mean,*D2D Mean,
musaCopy,copyRate3D,64,3.20396,4.0794,8.239,
musaCopy,copyRate3D,128,8.78663,11.8002,22.9056,
musaCopy,copyRate3D,256,20.2412,23.902,49.0237,
musaCopy,copyRate3D,512,42.061,47.1791,98.6373,
musaCopy,copyRate3D,1024,84.4092,94.3198,198.518,
musaCopy,copyRate3D,2048,162.006,180.349,375.788,
musaCopy,copyRate3D,4096,332.881,366.589,784.578,
musaCopy,copyRate3D,8192,662.192,666.764,1644.38,
musaCopy,copyRate3D,16384,1246.01,1149.24,3084.68,
musaCopy,copyRate3D,32768,1830.28,1464.02,5338.12,
musaCopy,copyRate3D,65536,3549.3,2271.8,10565.1,
musaCopy,copyRate3D,131072,5137.05,3878.16,22499.6,
musaCopy,copyRate3D,262144,7107.34,4703.34,41868.5,
musaCopy,copyRate3D,524288,8913.05,5808.79,77096.1,
musaCopy,copyRate3D,1048576,8327.75,7514.68,137347,
musaCopy,copyRate3D,2097152,11092.1,8972.5,217499,
musaCopy,copyRate3D,4194304,11120.9,8845.01,414084,
musaCopy,copyRate3D,8388608,13049.2,9747.38,741945,
musaCopy,copyRate3D,16777216,12620,10093.8,1.19421e+06,
musaCopy,copyRate3D,33554432,13649.4,11651.4,1.28396e+06,
musaCopy,copyRate3D,67108864,12199.6,12458.1,1.33376e+06,
musaCopy,copyRate3D,134217728,9512.8,12505.1,1.49885e+06,
musaCopy,copyRate3D,268435456,9368.4,12756.1,1.63943e+06,
musaCopy,copyRate3D,536870912,9371.47,13130.8,1.72873e+06,
musaCopy,copyRate3D,1073741824,8969.21,13156.7,1.78038e+06,
musaCopy,copyRate3D,2147483648,9285.52,13251.6,1.80677e+06,
musaCopy,copyRate3D,4294967296,9227.41,13294.8,1.71595e+06,
