Group,Experiment,Problem Space,*H2D Mean,*D2H Mean,*D2D Mean,
musaCopy,copyRate3D,64,1.17372,1.83793,3.51201,
musaCopy,copyRate3D,128,3.46767,3.77566,10.8287,
musaCopy,copyRate3D,256,7.05011,7.22073,17.9351,
musaCopy,copyRate3D,512,14.5348,15.4694,42.1713,
musaCopy,copyRate3D,1024,31.4651,29.157,82.7379,
musaCopy,copyRate3D,2048,64.4551,58.3903,165.631,
musaCopy,copyRate3D,4096,125.943,119.075,338.659,
musaCopy,copyRate3D,8192,261.828,230.728,687.813,
musaCopy,copyRate3D,16384,503.163,471.075,1366.73,
musaCopy,copyRate3D,32768,1005.39,892.274,2820.38,
musaCopy,copyRate3D,65536,1859.75,1745.87,5598.34,
musaCopy,copyRate3D,131072,3452.12,3257.94,10979.8,
musaCopy,copyRate3D,262144,5923.42,5760.94,21808.2,
musaCopy,copyRate3D,524288,7078.14,9627.49,40520.7,
musaCopy,copyRate3D,1048576,10678.8,14353.7,76487.8,
musaCopy,copyRate3D,2097152,7638.94,16077.6,30941.7,
musaCopy,copyRate3D,4194304,11059.6,18120.6,56664.3,
musaCopy,copyRate3D,8388608,12077.7,16900.9,79708.3,
musaCopy,copyRate3D,16777216,13094.3,14583.5,165587,
musaCopy,copyRate3D,33554432,10240.3,7994.98,232541,
musaCopy,copyRate3D,67108864,10106.7,6215.21,377672,
musaCopy,copyRate3D,134217728,10036.2,9938.9,439086,
musaCopy,copyRate3D,268435456,11270.1,13521.2,555029,
musaCopy,copyRate3D,536870912,12923.9,17592.5,534574,
musaCopy,copyRate3D,1073741824,13733.5,21160.8,498452,
musaCopy,copyRate3D,2147483648,15157.1,22328.1,513046,
musaCopy,copyRate3D,4294967296,16391.2,16944.4,563218,
