Group,Experiment,Problem Space,*H2D Mean,*D2H Mean,*D2D Mean,
musaCopy,copyRate3D,64,4.58878,8.6138,11.6524,
musaCopy,copyRate3D,128,11.8465,18.1766,27.6944,
musaCopy,copyRate3D,256,24.4888,36.1755,55.5512,
musaCopy,copyRate3D,512,48.6821,70.664,112.672,
musaCopy,copyRate3D,1024,97.6843,138.695,230.153,
musaCopy,copyRate3D,2048,194.605,274.792,449.8,
musaCopy,copyRate3D,4096,384.81,517.435,885.676,
musaCopy,copyRate3D,8192,750.274,875.528,1831.15,
musaCopy,copyRate3D,16384,1407.54,1425.41,3564.59,
musaCopy,copyRate3D,32768,2471.79,1980.85,6917.41,
musaCopy,copyRate3D,65536,4035.5,2529.18,13131.5,
musaCopy,copyRate3D,131072,5456.02,2946.76,26078.3,
musaCopy,copyRate3D,262144,7421.65,3436.09,51870.3,
musaCopy,copyRate3D,524288,7966.22,7198.3,94730.4,
musaCopy,copyRate3D,1048576,8413.41,6054.56,171539,
musaCopy,copyRate3D,2097152,12853,7072.73,315901,
musaCopy,copyRate3D,4194304,14219.5,8102.86,534617,
musaCopy,copyRate3D,8388608,13822.5,8536.57,811711,
musaCopy,copyRate3D,16777216,11891.4,8906.31,840098,
musaCopy,copyRate3D,33554432,11197,10930.8,909088,
musaCopy,copyRate3D,67108864,11350.5,11073.4,1.00513e+06,
musaCopy,copyRate3D,134217728,11257.3,9761.81,1.04102e+06,
musaCopy,copyRate3D,268435456,11229.9,11139.9,1.05358e+06,
musaCopy,copyRate3D,536870912,7450.44,11147.6,1.06154e+06,
musaCopy,copyRate3D,1073741824,10005.1,10047.9,1.06208e+06,
musaCopy,copyRate3D,2147483648,10267.5,10514,1.05669e+06,
musaCopy,copyRate3D,4294967296,9239.61,11164.5,1.04424e+06,
