Group,Experiment,Problem Space,*H2D Mean,*D2H Mean,*D2D Mean,
musaCopy,copyRate2D,64,3.32057,5.38459,9.01771,
musaCopy,copyRate2D,128,9.07172,11.2557,22.7743,
musaCopy,copyRate2D,256,19.2088,21.7723,47.5047,
musaCopy,copyRate2D,512,40.4215,45.5043,97.6122,
musaCopy,copyRate2D,1024,80.7558,91.0961,195.72,
musaCopy,copyRate2D,2048,158.944,177.325,389.551,
musaCopy,copyRate2D,4096,324.979,340.265,791.286,
musaCopy,copyRate2D,8192,621.27,644.929,1534.18,
musaCopy,copyRate2D,16384,1198.44,1156.02,3040.19,
musaCopy,copyRate2D,32768,2184.7,1869.67,6160.81,
musaCopy,copyRate2D,65536,3712.92,2746.44,12148.5,
musaCopy,copyRate2D,131072,5745.56,3642.67,23538.2,
musaCopy,copyRate2D,262144,7561.75,4640.1,41648.1,
musaCopy,copyRate2D,524288,8847.51,5579.98,77397.8,
musaCopy,copyRate2D,1048576,8613.96,7739.1,135994,
musaCopy,copyRate2D,2097152,11091.4,8046.85,234994,
musaCopy,copyRate2D,4194304,12583.7,8671.7,407761,
musaCopy,copyRate2D,8388608,13272.2,9222.91,635659,
musaCopy,copyRate2D,16777216,12748.4,9538.68,929002,
musaCopy,copyRate2D,33554432,11887,9923.67,1.07195e+06,
musaCopy,copyRate2D,67108864,10811.3,11908.3,1.21161e+06,
musaCopy,copyRate2D,134217728,10635.2,13083.4,1.38636e+06,
musaCopy,copyRate2D,268435456,10119.7,13654,1.86533e+06,
musaCopy,copyRate2D,536870912,10770.3,11683,1.97869e+06,
musaCopy,copyRate2D,1073741824,10957.3,14398,2.06213e+06,
musaCopy,copyRate2D,2147483648,10082,13113.2,2.08993e+06,
musaCopy,copyRate2D,4294967296,9855.34,14331.1,2.11013e+06,
